Time(s),PPG(mV)
7.6445,1621
7.6455,1566
7.6620,1517
7.6680,1485
7.6827,1470
7.6837,1451
7.7118,1447
7.7128,1455
7.7128,1470
7.7248,1497
7.7254,1519
7.7265,1560
7.7425,1601
7.7486,1637
7.7612,1679
7.7612,1718
7.7696,1766
7.7838,1812
7.7898,1845
7.7898,1887
7.7986,1913
7.8055,1939
7.8311,1957
7.8320,1958
7.8330,1968
7.8400,1966
7.8526,1955
7.8605,1946
7.8615,1922
7.8799,1904
7.8799,1877
7.8919,1844
7.9010,1822
7.9010,1792
7.9097,1770
7.9231,1746
7.9530,1719
7.9540,1710
7.9811,1695
7.9821,1684
7.9821,1675
7.9831,1666
7.9847,1673
7.9857,1672
7.9947,1671
8.0082,1680
8.0148,1683
8.0158,1696
8.0258,1702
8.0348,1707
8.0617,1718
8.0638,1721
8.0638,1728
8.0729,1732
8.0749,1737
8.0839,1749
8.0839,1744
8.0961,1750
8.1221,1756
8.1261,1759
8.1273,1766
8.1284,1758
8.1284,1759
8.1393,1769
8.1531,1769
8.1541,1787
8.1593,1803
8.1876,1838
8.1886,1897
8.1886,1963
8.2031,2057
8.2041,2162
8.2101,2270
8.2232,2384
8.2242,2485
8.2242,2589
8.2372,2676
8.2499,2739
8.2632,2788
8.2642,2809
8.2642,2812
8.2786,2791
8.3086,2736
8.3206,2673
8.3206,2584
8.3290,2482
8.3300,2371
8.3313,2244
8.3313,2133
8.3372,2017
8.3510,1904
8.3644,1808
8.3644,1713
8.3831,1644
8.3841,1585
8.3841,1534
8.3987,1503
8.3997,1475
8.4236,1462
8.4248,1456
8.4310,1452
8.4380,1471
8.4515,1485
8.4525,1511
8.4585,1543
8.4724,1576
8.4768,1624
8.4768,1663
8.4909,1711
8.4968,1767
8.5108,1814
8.5118,1868
8.5368,1906
8.5524,1940
8.5533,1978
8.5543,1994
8.5543,2008
8.5553,2014
8.5691,2013
8.5888,2012
8.6190,1989
8.6200,1969
8.6210,1949
8.6240,1921
8.6260,1895
8.6333,1860
8.6333,1834
8.6598,1814
8.6611,1784
8.6611,1761
8.6737,1733
8.6747,1718
8.6879,1708
8.6889,1688
8.6995,1682
8.6995,1677
8.7085,1671
8.7223,1677
8.7309,1673
8.7309,1682
8.7459,1693
8.7539,1698
8.7799,1712
8.7799,1719
8.7809,1735
8.7869,1744
8.7962,1746
8.7962,1757
8.8042,1755
8.8092,1758
8.8183,1756
8.8322,1746
8.8332,1757
8.8372,1771
8.8499,1798
8.8619,1846
8.8629,1902
8.8680,1993
8.8972,2091
8.8982,2194
8.9041,2308
8.9052,2419
8.9061,2534
8.9199,2635
8.9336,2716
8.9336,2796
8.9508,2840
8.9508,2864
8.9553,2862
8.9691,2827
8.9757,2778
8.9757,2698
8.9910,2601
9.0148,2495
9.0158,2378
9.0168,2265
9.0173,2140
9.0333,2026
9.0417,1927
9.0427,1824
9.0427,1740
9.0718,1663
9.0813,1598
9.0873,1555
9.0873,1508
9.0923,1476
9.0980,1459
9.1243,1448
9.1253,1455
9.1253,1461
9.1263,1486
9.1422,1520
9.1488,1549
9.1488,1592
9.1611,1631
9.1744,1681
9.1754,1734
9.1893,1774
9.1979,1822
9.1989,1863
9.2120,1900
9.2262,1936
9.2271,1951
9.2516,1973
9.2526,1986
9.2536,1985
9.2932,1982
9.2942,1964
9.2942,1949
9.2960,1929
9.2966,1901
9.2986,1882
9.2986,1858
9.3156,1840
9.3166,1823
9.3306,1798
9.3306,1783
9.3397,1762
9.3707,1743
9.3718,1731
9.3718,1714
9.3985,1713
9.3985,1702
9.4135,1691
9.4147,1688
9.4152,1683
9.4173,1690
9.4183,1692
9.4343,1692
9.4403,1704
9.4490,1704
9.4499,1707
9.4595,1712
9.4924,1713
9.4934,1724
9.4934,1721
9.4944,1724
9.4954,1732
9.5121,1737
9.5121,1757
9.5171,1774
9.5312,1812
9.5483,1882
9.5493,1959
9.5503,2060
9.5632,2171
9.5652,2293
9.5824,2426
9.5834,2537
9.6046,2650
9.6056,2748
9.6072,2827
9.6192,2885
9.6202,2905
9.6285,2908
9.6422,2886
9.6467,2829
9.6476,2757
9.6592,2662
9.6731,2556
9.6821,2443
9.6831,2313
9.7007,2198
9.7017,2080
9.7268,1967
9.7278,1868
9.7357,1766
9.7367,1694
9.7367,1628
9.7538,1570
9.7584,1535
9.7584,1500
9.7725,1488
9.7785,1480
9.7872,1472
9.8035,1487
9.8035,1502
9.8045,1528
9.8347,1560
9.8357,1585
9.8357,1631
9.8465,1674
9.8484,1719
9.8607,1765
9.8880,1806
9.8890,1854
9.8890,1894
9.9038,1925
9.9048,1958
9.9048,1978
9.9128,1996
9.9221,2003
9.9306,1997
9.9316,1998
9.9637,1979
9.9640,1962
9.9763,1938
9.9847,1911
9.9857,1894
9.9944,1865
9.9954,1838
10.0044,1816
10.0083,1787
10.0083,1768
10.0261,1738
10.0271,1714
10.0409,1701
10.0420,1684
10.0420,1679
10.0757,1674
10.0767,1670
10.0787,1678
10.0787,1673
10.0947,1678
10.0961,1685
10.1118,1690
10.1131,1706
10.1367,1705
10.1377,1714
10.1377,1729
10.1497,1732
10.1497,1740
10.1639,1738
10.1699,1743
10.2012,1751
10.2022,1756
10.2027,1785
10.2037,1825
10.2047,1890
10.2221,1980
10.2231,2070
10.2231,2190
10.2371,2312
10.2512,2430
10.2572,2547
10.2572,2646
10.2708,2739
10.2794,2804
10.3053,2834
10.3063,2854
10.3073,2841
10.3233,2807
10.3243,2752
10.3253,2671
10.3263,2584
10.3427,2482
10.3497,2373
10.3629,2261
10.3629,2144
10.3684,2041
10.3804,1937
10.3949,1841
10.4032,1763
10.4041,1686
10.4347,1626
10.4367,1574
10.4377,1531
10.4387,1512
10.4522,1489
10.4532,1481
10.4603,1478
10.4745,1484
10.4745,1510
10.4895,1531
10.4905,1563
10.4984,1606
10.5248,1644
10.5248,1695
10.5257,1736
10.5397,1777
10.5407,1827
10.5407,1862
10.5649,1902
10.5659,1934
10.5669,1965
10.5798,1994
10.5798,1999
10.5934,2004
10.5997,2005
10.6135,1998
10.6135,1988
10.6145,1959
10.6266,1934
10.6357,1914
10.6635,1885
10.6635,1863
10.6644,1830
10.6911,1810
10.6921,1794
10.6997,1764
10.7007,1748
10.7007,1733
10.7172,1716
10.7283,1709
10.7342,1689
10.7362,1685
10.7412,1685
10.7542,1682
10.7831,1689
10.7831,1689
10.7841,1704
10.7920,1711
10.7930,1709
10.8020,1717
10.8020,1715
10.8109,1720
10.8210,1725
10.8300,1725
10.8300,1737
10.8383,1744
10.8533,1763
10.8592,1792
10.8602,1826
10.8748,1891
10.8748,1965
10.9006,2058
10.9016,2172
10.9026,2288
10.9086,2417
10.9218,2540
10.9334,2656
10.9344,2772
10.9509,2854
10.9509,2916
10.9571,2951
10.9709,2956
10.9719,2943
10.9884,2892
10.9884,2821
11.0136,2736
11.0146,2628
11.0146,2520
11.0259,2395
11.0269,2274
11.0408,2161
11.0408,2040
11.0418,1932
11.0591,1833
11.0686,1749
11.0822,1684
11.0832,1615
11.0963,1570
11.0973,1535
11.1134,1509
11.1134,1500
11.1146,1487
11.1446,1491
11.1459,1509
11.1747,1525
11.1751,1551
11.1758,1578
11.1758,1619
11.1770,1666
11.1770,1704
11.2031,1755
11.2041,1803
11.2041,1853
11.2184,1896
11.2266,1924
11.2532,1956
11.2532,1978
11.2542,1988
11.2707,2000
11.2707,1997
11.2721,1997
11.2802,1986
11.2896,1966
11.3028,1949
11.3038,1920
11.3038,1901
11.3206,1877
11.3266,1842
11.3276,1821
11.3408,1792
11.3529,1766
11.3786,1745
11.3796,1718
11.3856,1709
11.3856,1696
11.3866,1685
11.4030,1682
11.4040,1674
11.4090,1678
11.4235,1680
11.4295,1682
11.4295,1700
11.4521,1709
11.4541,1725
11.4671,1734
11.4970,1739
11.4980,1754
11.4980,1758
11.5070,1762
11.5080,1764
11.5169,1762
11.5179,1771
11.5259,1766
11.5319,1764
11.5409,1766
11.5469,1758
11.5479,1757
11.5605,1749
11.5660,1747
11.5799,1749
11.5799,1733
11.6082,1726
11.6092,1724
11.6177,1733
11.6187,1761
11.6292,1794
11.6302,1864
11.6382,1962
11.6564,2074
11.6574,2208
11.6584,2341
11.6780,2489
11.6790,2632
11.6881,2753
11.6881,2867
11.7022,2952
11.7082,3016
11.7358,3054
11.7368,3044
11.7446,3020
11.7446,2966
11.7505,2883
11.7646,2784
11.7646,2660
11.7799,2541
11.7879,2414
11.8193,2279
11.8203,2158
11.8212,2033
11.8223,1926
11.8233,1831
11.8610,1738
11.8610,1672
11.8620,1608
11.8630,1559
11.8640,1524
11.8657,1494
11.8849,1489
11.8859,1485
11.8869,1486
11.8998,1508
11.9008,1530
11.9121,1567
11.9209,1603
11.9361,1642
11.9370,1696
11.9619,1740
11.9629,1790
11.9639,1836
11.9908,1875
11.9918,1922
11.9928,1950
11.9938,1975
11.9938,1995
12.0097,2005
12.0097,2016
12.0235,2009
12.0295,1999
12.0431,1988
12.0441,1960
12.0441,1935
12.0587,1905
12.0871,1876
12.0887,1850
12.0887,1812
12.0919,1784
12.1004,1754
12.1104,1728
12.1114,1712
12.1239,1684
12.1260,1672
12.1393,1665
12.1524,1651
12.1604,1649
12.1614,1641
12.1753,1648
12.1773,1656
12.1773,1651
12.2056,1659
12.2056,1665
12.2170,1672
12.2180,1683
12.2290,1681
12.2300,1693
12.2383,1699
12.2521,1706
12.2531,1718
12.2531,1721
12.2694,1731
12.2833,1739
12.2894,1738
12.2894,1744
12.3211,1743
12.3221,1751
12.3311,1754
12.3321,1748
12.3321,1753
12.3423,1748
12.3661,1745
12.3706,1742
12.3706,1732
12.3796,1734
12.3856,1727
12.3981,1720
12.4123,1722
12.4123,1717
12.4133,1727
12.4459,1729
12.4469,1730
12.4707,1744
12.4719,1746
12.4719,1754
12.4728,1760
12.4737,1762
12.4758,1773
12.4895,1772
12.4895,1773
12.4977,1772
12.5121,1771
12.5121,1789
12.5185,1805
12.5316,1848
12.5590,1922
12.5600,2012
12.5610,2131
12.5620,2258
12.5685,2399
12.5804,2550
12.5814,2678
12.5894,2808
12.5997,2921
12.6136,3014
12.6136,3084
12.6146,3110
12.6279,3117
12.6369,3098
12.6504,3038
12.6514,2960
12.6881,2849
12.6892,2731
12.6901,2600
12.6921,2448
12.7095,2310
12.7095,2170
12.7106,2042
12.7348,1928
12.7358,1818
12.7368,1734
12.7378,1662
12.7476,1600
12.7625,1553
12.7625,1515
12.7670,1498
12.7970,1492
12.7980,1491
12.7990,1506
12.7990,1520
12.8090,1547
12.8185,1576
12.8325,1606
12.8325,1652
12.8458,1691
12.8508,1733
12.8609,1779
12.8694,1818
12.8694,1867
12.8958,1901
12.8967,1929
12.9219,1960
12.9229,1978
12.9229,2000
12.9259,2008
12.9391,2006
12.9401,2008
12.9481,1992
12.9488,1976
12.9620,1952
12.9682,1921
12.9692,1900
12.9893,1864
12.9893,1829
12.9977,1799
13.0286,1767
13.0286,1745
13.0299,1711
13.0415,1687
13.0435,1676
13.0435,1660
13.0445,1653
13.0585,1641
13.0868,1636
13.0877,1640
13.0887,1632
13.1022,1632
13.1032,1633
13.1098,1635
13.1178,1641
13.1445,1635
13.1455,1645
13.1465,1657
13.1535,1660
13.1535,1671
13.1545,1672
13.1687,1682
13.1820,1694
13.1880,1690
13.2142,1697
13.2152,1702
13.2152,1712
13.2459,1723
13.2459,1726
13.2722,1739
13.2722,1744
13.2732,1747
13.2782,1750
13.2782,1748
13.2795,1757
13.2807,1754
13.3059,1746
13.3064,1745
13.3064,1735
13.3075,1730
13.3192,1723
13.3282,1714
13.3282,1722
13.3372,1718
13.3502,1721
13.3592,1722
13.3842,1717
13.3852,1728
13.3852,1734
13.3957,1745
13.3967,1771
13.3967,1805
13.4132,1870
13.4194,1946
13.4333,2043
13.4333,2164
13.4533,2280
13.4533,2407
13.4543,2531
13.4674,2648
13.4770,2763
13.5013,2846
13.5023,2910
13.5033,2949
13.5083,2957
13.5093,2950
13.5203,2903
13.5293,2834
13.5435,2747
13.5435,2632
13.5465,2509
13.5596,2371
13.5676,2237
13.5819,2114
13.5819,1986
13.5879,1874
13.6180,1770
13.6190,1677
13.6190,1603
13.6320,1530
13.6320,1483
13.6380,1450
13.6540,1425
13.6551,1416
13.6681,1410
13.6732,1423
13.6822,1443
13.6959,1461
13.6959,1494
13.7019,1524
13.7344,1563
13.7365,1608
13.7375,1644
13.7634,1695
13.7634,1742
13.7644,1786
13.7654,1831
13.7654,1864
13.7820,1905
13.7830,1933
13.7922,1950
13.7981,1972
13.7991,1980
13.8123,1983
13.8183,1978
13.8319,1958
13.8329,1945
13.8570,1919
13.8580,1889
13.8590,1857
13.8600,1820
13.8809,1796
13.8809,1758
13.8894,1727
13.9141,1707
13.9151,1683
13.9172,1672
13.9220,1656
13.9458,1641
